District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
202,UTTARAKHAND,Khpnd,2522307,325358,863488,1656610,340578,75747,717954,113021,93914,8687,0,23067,460030,187071,108963,18905,380788,1473397,413440,104031,19759,194834,1126122,44179,421,171,3366,12,109,1911,288982,213292,12878,1691,8235,44075,614745,101174,439770,259988,119991,338673,102346,6425,2320144,1952412,79981,569052,390723,559176,1552,62889,7682,112410,232122,47974,266030,863,115612,399114,48014,6794,337066,67440,72824,253788,3179,2886,21,28041,8192,527,3788,246949,159038,78970,144639,58,981,40062,35188,128129,107941,502,161606,1140,10164,2661,2432,36473,301704,268588,174890,112444,38971,82489,901065,92841,25872,23652,1188,544,29819,148,1060,1054,1270,112,107,55,135,141,846,0,2864
594,ANDHRA PRADESH,Radhlr,2080577,2206498,890326,566597,52378,489320,205459,12141,84545,101817,22233,39076,350408,1527070,174849,397938,34793,570127,303194,122625,80175,119716,602652,18191,1945,21542,2085,3428,44,3844,13249,34855,3526,19803,389840,79331,40601,518611,179484,26715,67167,64725,67861,1352,1780762,652885,2624585,417364,111437,700178,1853,567997,4342,43254,94363,14168,302286,4780,49340,364303,1848,20152,769627,12885,195036,644292,28931,84938,3302,8157,56,319,2209,41700,262003,44960,197467,50,411,832,484,159634,130280,979,172995,35589,10494,20779,52796,20345,88130,9246,78535,42993,15319,17221,6930,610,17141,1565,18894,1481,15282,758,649,8,622,247,18,548,109,83,776,0,5474
441,CHHATTISGARH,Dacodnai,1290312,348250,699881,2637214,656175,263399,319092,208298,30194,129929,0,355457,1025990,833547,148042,523433,25812,1343900,469249,110380,6733,179029,1415377,118469,98936,581774,610,13116,371,5060,756067,746288,3775,43951,323990,123370,290811,176796,729556,804076,450425,82570,139628,14675,2760662,1634201,3053356,1285117,507189,89728,2113,108,8930,26905,369,14686,15443,1239,114435,61814,5362,14537,644652,1111657,529126,962648,4001,70275,170,94070,2249,134,965,109719,10740,976,136293,7857,110,860,57635,253638,99142,23499,14761,11113,1118,8028,17765,40883,78774,98282,6216,145253,29680,94343,350370,171079,13296,1646,6983,1843,16345,376,1345,528,907,120,158,232,21,1003,69,0,3927
135,GUJARAT,Nuiddg,1643566,80942,594156,1186927,494387,408976,311088,177806,7150,199317,179479,21,148136,666691,109409,421120,259453,789870,72584,235771,10082,78946,312858,756638,26509,10,341,8,146,721,88562,434230,56750,25251,346895,15876,510658,810332,14036,407101,6618,154496,36440,40028,5805299,165441,910599,1299559,36534,579601,12860,110842,33625,65199,122091,16069,171400,8755,255310,5238,16502,98259,73314,41157,9427,156656,33970,34399,75,64602,9332,7456,2089,70008,39388,11,272643,130,1765,7238,5224,13920,35593,3269,72372,499,6665,29208,22254,2005,14657,470616,12976,129313,5501,83320,487881,30626,459,6509,17578,1281,42177,1082,662,400,231,65,368,310,6,106,76,7,5230
377,MADHYA PRADESH,Santni,790808,797027,774777,355804,274193,162312,570564,26519,168056,712,11628,9453,572440,1643647,191758,1852714,437210,1587632,141189,12499,31711,669428,4831,579,429,142,16622,45029,370,431,99088,123226,2724,5199,214068,98166,194529,618220,376236,279209,162898,310891,68849,4489,868175,65702,924322,2910603,328735,20737,1276,157043,4530,67788,68269,889,145038,747,175371,171739,512,11801,586025,43780,37176,220432,27242,29594,55,29703,550,124,5898,148501,31391,41942,366,290,1093,1971,2636,45920,195463,192,891867,36116,7398,127749,105788,14500,59951,79289,6989,7055,89372,6882,109751,27607,12491,15389,847,50,38292,589,107,1086,1640,30,191,30,33,12,41,4,8659
222,HARYANA,Futnaap,1709009,1593866,271724,740318,377572,956290,268325,185978,466922,7663,107972,138411,1198039,386522,18940,193866,57003,633043,54700,735415,40317,518413,2083777,865645,9954,987,35,5600,325,190,38492,150060,585,84050,459115,60828,304529,661716,123470,368770,137505,529997,109494,6229,2328455,761247,1778271,1113467,958192,479433,4910,5690,14998,23169,1006,29885,11644,845,79420,235603,19748,7053,64868,114104,126147,116595,22290,34980,348,27334,4856,822,7538,147068,1811,9290,563134,2263,128,24446,21778,137405,114896,200,56129,4631,8720,94328,11044,5263,150979,29844,27944,336877,650,23606,154742,58628,17567,1661,1287,1511,37415,199,1266,190,1036,102,6,105,3,6,24,75,2871
598,_RARE_,Taitabt,718271,608181,59051,358099,1166463,512445,561972,69814,90986,144,12969,116791,698155,1281232,118613,532409,189490,523348,207573,295676,70824,357908,1490975,809395,12374,13555,241,4009,81635,1046,40881,284128,26294,69764,45670,61224,298501,257798,332775,1289927,154884,41305,29274,63025,839810,19844,1816471,1250737,586495,199400,12341,224445,3539,86936,12715,4316,65905,4019,281716,174337,762,14973,179734,332274,173385,159238,137163,116163,186,17085,31961,237,3287,134901,191311,2212,52260,313,93,2936,38806,31630,38378,1905,37313,24117,325,33903,25655,35453,201640,30681,1734,123676,10590,6976,179414,52748,53,41298,5507,1,73347,554,2547,1648,4215,168,249,2,251,474,75,428,3239
332,MAHARASHTRA,Karhaaala,126229,1176427,1264778,898182,1158444,687559,415977,412157,166732,28551,181560,81,831429,44606,267870,397245,234415,1178040,146845,254713,1080,384446,2281029,7380,3523,1516,886,15376,65,689,21175,61271,21486,7124,195439,4603,379290,360568,120664,202074,104623,58275,82855,5644,142230,776085,2292883,1438078,403576,260503,151,16550,10438,5855,50422,24312,244165,10070,119209,167766,14309,7333,533018,198195,17249,726564,13311,104708,268,18536,328,4415,7397,288733,94716,58754,104898,91,2484,11157,20756,120689,166262,209,226581,35251,13986,19522,22752,11663,109901,58472,111972,5536,3899,142275,69433,48673,55854,21158,1531,269,58586,513,995,322,3155,251,42,347,177,259,76,9,7079
153,KERALA,Phatuag,2971805,28697,2074211,1673771,990558,458590,17726,36260,243599,896658,122557,33666,2911251,1472724,274708,528994,177513,223055,32806,72499,882,69842,766978,58189,10078,961,3320,252,1290,213,4039,110964,2278,3854,488275,278456,211261,183194,295909,558786,229723,119661,215770,9652,1785819,384585,1211683,1166454,278518,9992,1403,112686,44056,20895,60226,5178,180360,3346,47085,210827,27075,46772,459709,134448,49618,28810,30326,33882,57,24700,9249,677,8171,426039,11046,3435,239254,5035,3896,11820,1245,99669,121368,22,25887,738,36071,132578,26293,1453,8045,50344,26749,113419,70565,17110,372519,22522,8249,690,18429,115,22881,52,23,870,2887,41,9,935,47,182,34,9,159
164,WEST BENGAL,Tajutgh,3343069,612803,634687,3068336,912399,480060,112587,0,341046,118494,5200,144829,818109,305968,41877,120069,257182,280352,78957,713539,16442,90831,17067,688,18292,164,17826,843,907,6778,408228,914185,2781,35444,428076,78194,630591,87118,1224185,377794,205756,171175,70346,31503,1471226,651107,699873,770696,749411,53272,2496,6854,5462,59240,29546,35270,67099,8240,19320,83380,4221,10612,584637,109983,1108623,173528,633,120544,5,29516,5013,1053,18002,60146,90433,2265,39865,746,216,3787,15252,55478,56331,7398,4904,4191,990,87222,86855,11166,104712,26193,327724,42748,96573,79395,73125,50029,16240,27266,3790,316,5298,291,996,690,32,387,188,2406,10,399,2,186,549
147,JHARKHAND,Mapaigeadp,4778300,319540,2521150,1100314,903613,1005122,7156,323358,246440,397527,44604,57214,977734,922055,379883,835823,148297,1589563,161829,100942,3882,140703,2380711,341900,274,294,301,51,86,1213,96346,71088,18025,31711,722807,5100,211152,224331,141637,476872,12014,28871,60659,818,359863,283085,613552,889223,13714,1073277,1481,1978,11190,26317,103864,61484,526630,3782,120972,166429,9279,23063,955913,134985,207076,673874,247956,19856,38,9175,577,2523,4202,23907,170885,141685,221215,274,1613,3821,49848,7234,86121,810,17506,47842,6924,28602,169792,227837,273810,47145,14816,73444,7203,77349,901161,116662,14254,21756,1147,176,30630,68,26,183,3437,34,288,366,30,391,1654,82,5699
98,GUJARAT,Mojaaandp,487195,1333825,354704,1079091,812619,1459994,198156,119985,62001,229932,0,14061,414383,1444523,96184,1920199,82436,939026,1745,385639,19307,531841,3622404,300645,1624,183152,1275,99,40,4175,35436,144864,33786,221126,314436,49036,2173840,288074,108635,63167,112555,138788,287822,10258,510240,255944,2075402,905681,1056947,328335,2923,1089,12401,30641,70146,10611,290085,6289,365444,93602,7798,108,23348,231826,125659,48656,17668,60150,781,9413,3470,229,6791,119209,135125,2949,46780,43,1306,11329,6815,470879,41007,2005,45635,62154,2539,3720,30410,12752,132173,27443,95765,73086,2520,41734,251916,13360,13829,3652,674,552,29246,473,375,542,123,426,157,401,6,82,109,26,63
388,PUNJAB,Sikkar,1401928,694804,434422,1795337,1409788,19301,308186,236620,7494,22691,21504,47982,402428,743757,780755,335887,291729,1473886,306998,361067,10646,288215,1323763,433671,118086,773,1995,2472,265,715,46620,33156,3013,25459,304428,43940,391319,319951,503004,237251,78089,9681,3930,3441,439471,28670,1685333,936762,506359,59787,6405,283131,16633,29788,1814,28340,357830,8017,132414,149008,25721,14780,162572,46698,51319,253772,11720,8168,8,15264,6397,2295,3211,341311,204703,404,106159,267,30,36113,5920,44633,70204,122,194071,1126,5393,27363,18127,42174,45528,74494,21950,81813,28159,119126,178252,49833,48,5494,7993,1188,9812,320,838,875,4024,466,69,2055,75,293,27,0,18737
398,ORISSA,Saiddhr,1778436,2725181,705095,3064811,238838,325809,377716,364753,198528,9421,1048,486018,472505,737589,243387,76251,300293,3005850,115070,174761,927,113248,2608583,46041,8006,1288,284,7579,107,126,414245,115041,10000,6631,213533,48198,49060,246773,239949,694613,188841,84093,13317,42757,103884,248365,525504,422537,359063,141607,9451,108,15593,39828,62705,6968,384310,394,425795,291978,1873,12786,134699,279719,87491,50075,621,33003,343,6043,335,4123,5488,13678,56879,122581,390395,4017,69,10477,8087,130642,32448,1262,37710,9,7468,8008,36361,7532,519548,15747,114126,56861,2687,5430,175972,3626,25006,45683,711,539,42934,211,1005,607,1088,54,376,54,1551,319,13,81,4086
24,CHHATTISGARH,Koaekaoh,1886780,1474963,961311,841148,62525,185528,105140,424529,302395,365544,0,277430,61370,19131,151438,343499,442443,374816,138910,421435,14502,1653058,3374144,428460,50046,116214,2996,600,531,940,91558,72135,598,24631,136552,353137,182423,166743,337148,207640,116379,19265,115712,19165,1083029,668844,1071514,1511507,1278428,16182,20153,366085,7137,43761,154013,43598,140017,8207,37282,306418,2348,56987,153175,194207,445038,543751,4117,174045,1634,8278,1157,67,8290,170508,226117,8566,12,9,2843,229,13991,147518,35921,2878,71241,32269,1015,94943,42048,269413,658794,158776,55401,235846,14630,167680,132938,14822,5936,13207,3508,304,57418,434,535,1620,3580,471,187,626,56,295,121,485,3960
112,ANDHRA PRADESH,Khgtlhh,1894105,2108968,72189,1554861,2707044,1625941,73385,239,168468,8706,0,46466,57370,1716767,644469,547567,40171,4761900,255584,93975,6770,296966,1916672,146665,2873,105,57,618,5402,116,294084,174263,741,52509,230615,270262,1014658,840227,812461,49547,70477,137971,97972,21855,697697,409620,498898,1087644,519828,193972,69,1411,56184,36315,120654,10596,323493,8115,8758,471391,45074,12898,135519,341863,162770,685953,81677,186198,21,22752,36259,2343,1863,38178,283833,7816,7658,21373,248,8089,12359,234301,294928,510,323261,9031,9426,23964,107025,4595,243360,44147,44832,8393,7412,33803,146089,44729,6262,19491,824,260,67299,273,80,409,1241,39,1790,911,172,32,594,23,3865
198,KARNATAKA,Uahear,1199575,1930530,644702,1058343,542991,37411,175481,56835,97449,0,38655,0,64181,590602,492971,52757,204666,38072,13922,181943,19508,825683,3477214,81662,99166,1456,896,50,501,115,71623,20237,8358,182363,435218,78668,611599,164961,188275,195769,131887,91007,182894,1516,1631961,49700,256546,1614215,788935,199042,1981,157244,1346,118455,3201,878,160788,5046,91124,377046,147776,8095,264667,283158,243389,147743,16971,205222,769,1196,667,644,615,13623,120136,17973,22210,4224,18890,2529,59709,201729,37028,10014,62187,7042,30554,17141,114803,57029,180547,86211,82241,2110,9387,81072,222472,10258,4949,286,70,63,100617,43,753,381,604,191,180,135,555,60,219,18,3483
583,UTTAR PRADESH,Divarr,2339164,442068,891940,610959,327847,367078,0,450332,116541,28555,235,5043,397235,256829,829618,27679,282136,1614441,113816,310645,2036,100909,775047,77093,26952,539,105,125,68,799,335107,297777,7572,742,287751,504015,136332,346122,141286,238905,238856,26104,30855,582,1537520,347497,284654,1142033,345480,103966,6516,668141,17187,7857,73389,6361,82838,15578,134435,445607,33667,5633,190443,201917,123465,263925,123388,96462,77,11300,599,604,828,123026,63594,6,847,3409,565,3327,8595,147674,248034,386,57825,1419,14391,51273,42741,96181,97622,50467,138331,90433,48397,168092,322063,38737,29371,305,1546,671,45935,362,1692,1585,543,137,2,100,6,969,380,102,116
64,JAMMU AND KASHMIR,Taraal,5655193,1009620,379106,1355097,190052,805257,487192,45721,0,88408,214138,101349,105171,121219,203946,716222,344537,2398927,111337,407951,5311,112292,3242858,704780,139145,254,1610,6778,35140,3257,8303,117155,985,6439,320659,15432,408910,87478,520836,529233,6541,89479,55247,13493,2164518,343893,1724662,1535641,263227,82741,400,124317,95342,15231,76373,11750,407454,6751,294486,93726,5893,10565,1420606,221408,11476,260909,180813,29882,168,200378,91,1955,467,20178,160560,2950,83896,82,3148,700,14526,147401,23699,200,224695,22359,16632,36968,106121,3925,193014,102738,46266,113861,31821,155160,348262,27682,35870,15075,540,472,15741,450,1365,93,1746,91,37,921,185,52,10,29,3206
521,MANIPUR,Uesnagstr,8161961,962166,2155025,2204222,1578718,1517290,353533,92606,56184,82180,6624,5785,934484,1027787,141700,479877,346160,1026457,3202,145817,16658,51913,2908304,27349,26672,803,1544,15,833,804,382456,183810,1930,56664,410661,96494,573802,103978,428211,219901,180113,80452,163052,9733,521563,875813,1441750,440664,160815,334651,1763,707022,149254,126725,10100,65939,78067,3640,38582,215437,6284,22512,88096,537763,185482,176913,33105,38248,63,68526,40,545,1144,388089,209182,9,2,29,14,16870,13640,404425,62365,220,54808,55,69514,27980,176106,24325,111891,108204,70500,181353,6077,81072,184635,54450,8356,854,76,82,37359,332,170,22,231,314,79,4,29,361,953,36,1161
